iter	MultiClass
0	1.089061386
1	1.079683826
2	1.07258125
3	1.060679755
4	1.057234034
5	1.054789606
6	1.046965589
7	1.041825765
8	1.020455037
9	1.014381812
10	1.012285817
11	1.001517189
12	1.000712783
13	0.9934374815
14	0.9895259701
15	0.9845738622
16	0.9816708332
17	0.9712617581
18	0.9569336926
19	0.9557039098
20	0.9497520741
21	0.9454251451
22	0.9419106774
23	0.9411643122
24	0.9324510818
25	0.9299851197
26	0.9269956012
27	0.9172940978
28	0.9142279431
29	0.904273313
30	0.8989685583
31	0.8899194103
32	0.886317592
33	0.8823223497
34	0.879352812
35	0.8677252747
36	0.8662918985
37	0.8648319066
38	0.860885056
39	0.8516749349
40	0.8485751252
41	0.8452458464
42	0.8371088828
43	0.8271104474
44	0.8239906374
45	0.8169854209
46	0.8093531988
47	0.8027360609
48	0.7996787305
49	0.7907886229
50	0.7857263195
51	0.7814342275
52	0.7736342613
53	0.7676820659
54	0.7639866367
55	0.7622733977
56	0.7577557602
57	0.7563746421
58	0.7514550421
59	0.7456642051
60	0.7386500633
61	0.7366573687
62	0.7343246882
63	0.730215008
64	0.7286538111
65	0.7239998139
66	0.7207549717
67	0.7193317465
68	0.7096700796
69	0.70323592
70	0.6979823012
71	0.6958449568
72	0.6942965457
73	0.6879964036
74	0.6859697505
75	0.6807825292
76	0.679379307
77	0.6776990622
78	0.6761664652
79	0.6733897089
80	0.6723524229
81	0.6623751311
82	0.6614882471
83	0.6561263911
84	0.6548003394
85	0.6490851105
86	0.6451304834
87	0.6421742365
88	0.6378421363
89	0.6356365594
90	0.6314633098
91	0.6292718344
92	0.6244875332
93	0.6229158228
94	0.6181750391
95	0.6137556117
96	0.6097914086
97	0.6048361029
98	0.6020349587
99	0.5995993402
100	0.5983582816
101	0.5936705662
102	0.59299472
103	0.5895748773
104	0.5863014773
105	0.584640671
106	0.5802813656
107	0.5788415323
108	0.5756621758
109	0.5739248558
110	0.5727503913
111	0.5687096337
112	0.5676782981
113	0.5639876682
114	0.558167416
115	0.5550908073
116	0.5520858698
117	0.5494775473
118	0.5482227445
119	0.5469647533
120	0.546258873
121	0.5445098248
122	0.5411722458
123	0.5370486857
124	0.5359147175
125	0.5345526527
126	0.5305080887
127	0.5294434975
128	0.5278762618
129	0.5247143643
130	0.5239195774
131	0.522891908
132	0.5215349296
133	0.5166042501
134	0.5150219196
135	0.5138909201
136	0.51316304
137	0.5092957777
138	0.507945713
139	0.5070071303
140	0.5059937459
141	0.5051369346
142	0.5030693526
143	0.4996856436
144	0.4963522429
145	0.4956234024
146	0.4949453668
147	0.4917826215
148	0.489928418
149	0.4893253494
150	0.4873445208
151	0.4838269462
152	0.4833142605
153	0.4816397736
154	0.4783104222
155	0.4773334711
156	0.4753365322
157	0.4739970512
158	0.4731332647
159	0.4705548194
160	0.4674285662
161	0.4639432828
162	0.4628228253
163	0.4623033303
164	0.4600103097
165	0.4590157572
166	0.4565541765
167	0.4559861222
168	0.4547085113
169	0.4544122958
170	0.4538651594
171	0.4521409739
172	0.4508110369
173	0.449484605
174	0.4490572606
175	0.4482468701
176	0.4471667118
177	0.4463220034
178	0.4441808801
179	0.4421793125
180	0.4415323041
181	0.4401510613
182	0.4390987907
183	0.438396554
184	0.4364514649
185	0.4354954508
186	0.4323386849
187	0.4307790484
188	0.4290325125
189	0.4266705776
190	0.4245415335
191	0.4240201247
192	0.4227491265
193	0.4222666038
194	0.4196557906
195	0.4178639587
196	0.4171139705
197	0.4164377259
198	0.4136992896
199	0.4126521359
200	0.4107044044
201	0.4099436171
202	0.4078392545
203	0.4058219947
204	0.4040297699
205	0.4014336016
206	0.3994005528
207	0.3978223455
208	0.3949061592
209	0.3940916993
210	0.393404455
211	0.3895362697
212	0.3889856483
213	0.3883250666
214	0.3878556177
215	0.3875958988
216	0.387033612
217	0.3847875279
218	0.3834425165
219	0.3817514221
220	0.3811131695
221	0.3801181557
222	0.3796033212
223	0.3787538115
224	0.3782790024
225	0.3774654313
226	0.3769784907
227	0.3764794946
228	0.375041594
229	0.3740185095
230	0.3736131237
231	0.3725498815
232	0.3721930034
233	0.3711902726
234	0.3693093878
235	0.3690130361
236	0.3676766571
237	0.3671028178
238	0.36565366
239	0.3648478301
240	0.3642084729
241	0.3636585153
242	0.3628473298
243	0.3623504841
244	0.3617554776
245	0.359813634
246	0.3595574017
247	0.3574107806
248	0.3555263076
249	0.3543993149
250	0.3539580109
251	0.3530538986
252	0.3525086767
253	0.3504364411
254	0.3487892669
255	0.3481615841
256	0.3471078634
257	0.3463358665
258	0.3454722409
259	0.3447732879
260	0.3432797461
261	0.341157215
262	0.3401651983
263	0.339714335
264	0.3389958937
265	0.3369149292
266	0.3365580407
267	0.3361307169
268	0.3356589921
269	0.3341264021
270	0.3337929743
271	0.3319851122
272	0.3291465439
273	0.3281455152
274	0.3270734362
275	0.3266017032
276	0.3249924448
277	0.3239840485
278	0.3217551841
279	0.3212721517
280	0.3201923085
281	0.3182851601
282	0.3173256963
283	0.316787295
284	0.3162413143
285	0.3144162029
286	0.3139729507
287	0.3132905272
288	0.312675067
289	0.3122521865
290	0.3110600636
291	0.3104823091
